HPI_sci,HPI_rel,countries,continent
21.389,0,Afghanistan,Asia
23.1958,24.5748,Algeria,Africa
20.61145,0,Argentina,South America
0,24.347,Armenia,Asia
21.86368,0,Australia,Oceania
24.0312,24.8533,Austria,Europe
24.763,0,Azerbaijan,Asia
20.4729,0,Bangladesh,Asia
23.79,0,Belarus,Europe
23.5907,22.2296,Belgium,Europe
23.7692,0,Bosnia And Herzegovina,Europe
21.9798,0,Brazil,South America
22.4516,0,Bulgaria,Europe
22.2602,0,Canada,North America
22.8899,0,Chile,South America
23.3104,24.3448,China,Asia
23.5162,24.596,Croatia,Europe
18.9924,25.5388,Cyprus,Asia
24.6904,24.62743333,Czech Republic,Europe
23.3310125,0,Denmark,Europe
24.254475,25.51880909,Egypt,Africa
0,23.0442,El Salvador,South America
23.13905,22.5124,Estonia,Europe
22.97905,0,Finland,Europe
24.05144222,24.88099333,France,Europe
21.1499,0,Georgia,Asia
23.94106606,25.83218333,Germany,Europe
25.6673,25.3182,Greece,Europe
18.4731,0,Greenland,North America
22.2023,0,Haiti,North America
26.3256,23.26331765,Hungary,Europe
22.22248462,23.007825,India,Asia
23.5741,0,Indonesia,Asia
24.722275,24.2990875,Iran,Asia
25.1951,25.35781429,Iraq,Asia
24.32678333,23.8336,Ireland,Europe
22.53725,26.5764,Israel,Asia
24.8225,24.83259522,Italy,Europe
21.66601875,0,Japan,Asia
0,27.5854,Jordan,Asia
23.2261,0,Kenya,Africa
25.4018,0,Latvia,Europe
28.4856,26.0198,Libya,Africa
23.80155,0,Lithuania,Europe
22.60535,0,Luxembourg,Europe
21.4414,0,Malawi,Africa
21.612,0,Mexico,North America
22.4492,0,Moldova,Europe
0,23.5111,Montenegro,Europe
19.7348,0,Morocco,Africa
23.75125517,25.1582,Netherlands,Europe
24.13163333,0,New Zealand,Oceania
0,22.4023,North Korea,Asia
23.431525,23.0819,Norway,Europe
23.04985,23.6545,Pakistan,Asia
0,25.70042727,Palestine,Asia
0,22.9902,Peru,South America
23.84411364,25.002925,Poland,Europe
24.7417,25.136,Portugal,Europe
22.492475,23.9304,Romania,Europe
23.07261731,0,Russia,Europe
23.8943,0,Saint Kitts And Nevis,North America
23.1353,0,Saint Lucia,North America
24.3658,25.3584,Saudi Arabia,Asia
24.8656,24.8393,Slovakia,Europe
24.1165,0,Slovenia,Europe
23.01015,23.2407,South Africa,Africa
19.50865,0,South Korea,Asia
23.95731,25.35343333,Spain,Europe
21.4096,0,Sri Lanka,Asia
0,23.3953,Sudan,Africa
23.99741364,24.32313333,Sweden,Europe
23.99348077,24.34595,Switzerland,Europe
0,24.97997143,Syria,Asia
22.2119,0,Taiwan,Asia
0,22.1478,Timor-Leste,Asia
0,25.9911,Tunisia,Africa
25.43019412,25.20416,Turkey,Asia
23.16196667,0,Ukraine,Europe
23.49612234,24.22038333,United Kingdom,Europe
22.45901324,23.603375,United States,North America
0,24.8969,Uzbekistan,Asia
22.106,0,Venezuela,South America
16.4546,0,Vietnam,Asia
0,25.5258,Yemen,Asia
