,name,year,nr_unis,nonreligpct,religpct,popsize,uni_per_pop,pop_per_uni
3,Albania,1960,4,0.15,0.85,1608800.0,0.248632521134,402200.0
4,Albania,1965,4,0.21,0.79,1864791.0,0.214501249738,466197.75
5,Albania,1970,4,0.24,0.76,2135479.0,0.187311605499,533869.75
6,Albania,1975,5,0.2531,0.7469,2404831.0,0.207914818131,480966.2
7,Albania,1980,5,0.2632,0.7368,2671997.0,0.1871259586,534399.4
8,Albania,1985,5,0.2698,0.7302,2964762.0,0.168647601393,592952.4
9,Albania,1990,5,0.2742,0.7258,3286542.0,0.152135588104,657308.4
10,Albania,1995,7,0.1675,0.8325,3187784.0,0.219588278252,455397.714286
11,Albania,2000,7,0.1092,0.8908,3089027.0,0.226608572861,441289.571429
12,Albania,2005,8,0.1099,0.8901,3011487.0,0.265649494751,376435.875
13,Albania,2010,9,0.1507,0.8493,2913021.0,0.308957607927,323669.0
14,Angola,1975,1,0.0033,0.9967,7682479.0,0.0130166317409,7682479.0
15,Angola,1980,1,0.0043,0.9957,8929900.0,0.0111983336879,8929900.0
16,Angola,1985,1,0.0056,0.9944,10609042.0,0.00942592177503,10609042.0
17,Angola,1990,1,0.006,0.994,12171441.0,0.00821595405178,12171441.0
18,Angola,1995,2,0.008,0.992,14268994.0,0.0140164050808,7134497.0
19,Angola,2000,2,0.0194,0.9806,16440924.0,0.0121647664085,8220462.0
20,Angola,2005,2,0.0161,0.9839,19552542.0,0.0102288490162,9776271.0
21,Angola,2010,8,0.0179,0.9821,23369131.0,0.0342331942082,2921141.375
22,Antigua and Barbuda,1980,0,0.0,1.0,73442.0,0.0,inf
23,Antigua and Barbuda,1985,1,0.0,1.0,69782.0,1.43303430684,69782.0
24,Antigua and Barbuda,1990,1,0.0328,0.9672,66696.0,1.49934029027,66696.0
25,Antigua and Barbuda,1995,1,0.046,0.954,73619.0,1.35834499246,73619.0
26,Antigua and Barbuda,2000,1,0.0582,0.9418,83584.0,1.19640122511,83584.0
27,Antigua and Barbuda,2005,1,0.0533,0.9467,89253.0,1.12041051841,89253.0
28,Antigua and Barbuda,2010,1,0.059,0.941,94661.0,1.05640126346,94661.0
32,Argentina,1960,9,0.0,1.0,20619075.0,0.0436489027757,2291008.33333
33,Argentina,1965,10,0.0025,0.9975,22283390.0,0.044876475258,2228339.0
34,Argentina,1970,11,0.0046,0.9954,23973058.0,0.0458848428932,2179368.90909
35,Argentina,1975,25,0.0046,0.9954,26066975.0,0.0959067939414,1042679.0
36,Argentina,1980,26,0.0034,0.9966,28105888.0,0.092507306654,1080995.69231
37,Argentina,1985,26,0.0082,0.9918,30388783.0,0.0855578849604,1168799.34615
38,Argentina,1990,30,0.0231,0.9769,32729739.0,0.09165975934,1090991.3
39,Argentina,1995,37,0.025,0.975,34994814.0,0.105729951872,945805.783784
40,Argentina,2000,38,0.0392,0.9608,37057452.0,0.102543477625,975196.105263
41,Argentina,2005,40,0.12,0.88,39145488.0,0.102182913137,978637.2
42,Argentina,2010,44,0.12,0.88,41223889.0,0.106734228787,936906.568182
43,Armenia,1995,12,0.1221,0.8779,3217342.0,0.372978688619,268111.833333
44,Armenia,2000,14,0.017,0.983,3069588.0,0.456087266434,219256.285714
45,Armenia,2005,14,0.0342,0.9658,2981259.0,0.469600259488,212947.071429
46,Armenia,2010,14,0.0346,0.9654,2877311.0,0.486565407771,205522.214286
50,Australia,1960,22,0.04,0.96,10276477.0,0.214081148627,467112.590909
51,Australia,1965,24,0.05,0.95,11388000.0,0.210748155954,474500.0
52,Australia,1970,28,0.0598,0.9402,12507000.0,0.223874630207,446678.571429
53,Australia,1975,31,0.0937,0.9063,13893000.0,0.22313395235,448161.290323
54,Australia,1980,31,0.1196,0.8804,14692000.0,0.210999183229,473935.483871
55,Australia,1985,31,0.1343,0.8657,15758000.0,0.196725472776,508322.580645
56,Australia,1990,34,0.1398,0.8602,17065100.0,0.199237039338,501914.705882
57,Australia,1995,36,0.1562,0.8438,18072000.0,0.199203187251,502000.0
58,Australia,2000,36,0.1673,0.8327,19153000.0,0.187960110688,532027.777778
59,Australia,2005,37,0.22,0.78,20394800.0,0.181418793026,551210.810811
60,Australia,2010,38,0.3101,0.6899,22031750.0,0.172478355101,579782.894737
62,Austria,1960,3,0.0377,0.9623,7047539.0,0.0425680510601,2349179.66667
63,Austria,1965,5,0.04,0.96,7270889.0,0.0687673818153,1454177.8
64,Austria,1970,6,0.0409,0.9591,7467086.0,0.080352630196,1244514.33333
65,Austria,1975,7,0.047,0.953,7578903.0,0.0923616518116,1082700.42857
66,Austria,1980,7,0.0598,0.9402,7549433.0,0.0927221951635,1078490.42857
67,Austria,1985,7,0.0585,0.9415,7564985.0,0.0925315780534,1080712.14286
68,Austria,1990,7,0.0862,0.9138,7677850.0,0.0911713565647,1096835.71429
69,Austria,1995,7,0.087,0.913,7948278.0,0.0880693906278,1135468.28571
70,Austria,2000,7,0.1199,0.8801,8011566.0,0.0873736795029,1144509.42857
71,Austria,2005,7,0.1384,0.8616,8227829.0,0.0850771205867,1175404.14286
72,Austria,2010,7,0.1542,0.8458,8363404.0,0.0836979775221,1194772.0
73,Azerbaijan,1995,20,0.0576,0.9424,7685000.0,0.260247234873,384250.0
74,Azerbaijan,2000,22,0.0588,0.9412,8048600.0,0.273339462764,365845.454545
75,Azerbaijan,2005,22,0.0089,0.9911,8391850.0,0.262159118669,381447.727273
76,Azerbaijan,2010,23,0.0193,0.9807,9054332.0,0.254022052648,393666.608696
77,Bahrain,1970,1,0.0,1.0,212605.0,0.470355824181,212605.0
78,Bahrain,1975,1,0.0,1.0,266543.0,0.375173986936,266543.0
79,Bahrain,1980,2,0.0,1.0,359888.0,0.555728448851,179944.0
80,Bahrain,1985,3,0.0,1.0,419430.0,0.715256419426,139810.0
81,Bahrain,1990,4,0.0014,0.9986,495931.0,0.806563816337,123982.75
82,Bahrain,1995,4,0.0,1.0,563699.0,0.709598562353,140924.75
83,Bahrain,2000,4,0.0,1.0,664614.0,0.601853105712,166153.5
84,Bahrain,2005,8,0.0,1.0,889168.0,0.899717488709,111146.0
85,Bahrain,2010,9,0.0,1.0,1240862.0,0.725302249565,137873.555556
86,Barbados,1970,1,0.1708,0.8292,238848.0,0.418676312969,238848.0
87,Barbados,1975,1,0.1126,0.8874,246034.0,0.406447889316,246034.0
88,Barbados,1980,1,0.0522,0.9478,252194.0,0.396520139258,252194.0
89,Barbados,1985,1,0.0593,0.9407,255924.0,0.390741001235,255924.0
90,Barbados,1990,1,0.0549,0.9451,260374.0,0.38406292487,260374.0
91,Barbados,1995,1,0.2223,0.7777,264959.0,0.377416883367,264959.0
92,Barbados,2000,1,0.2058,0.7942,269847.0,0.370580365911,269847.0
93,Barbados,2005,1,0.2102,0.7898,274009.0,0.364951516191,274009.0
94,Barbados,2010,1,0.205,0.795,279569.0,0.35769344956,279569.0
95,Belarus,1995,11,0.2869,0.7131,10194000.0,0.107906611732,926727.272727
96,Belarus,2000,11,0.4103,0.5897,9979610.0,0.110224748262,907237.272727
97,Belarus,2005,11,0.4934,0.5066,9663915.0,0.113825504467,878537.727273
98,Belarus,2010,11,0.411,0.589,9490583.0,0.115904365411,862780.272727
102,Belgium,1960,3,0.033,0.967,9153489.0,0.0327743879957,3051163.0
103,Belgium,1965,6,0.0441,0.9559,9463667.0,0.0634003711246,1577277.83333
104,Belgium,1970,11,0.0599,0.9401,9655549.0,0.113924127981,877777.181818
105,Belgium,1975,11,0.06,0.94,9800700.0,0.112236881039,890972.727273
106,Belgium,1980,11,0.0607,0.9393,9859242.0,0.111570443245,896294.727273
107,Belgium,1985,11,0.0941,0.9059,9858308.0,0.111581013699,896209.818182
108,Belgium,1990,11,0.108,0.892,9967379.0,0.110360005374,906125.363636
109,Belgium,1995,12,0.1387,0.8613,10136811.0,0.11838042556,844734.25
110,Belgium,2000,12,0.15,0.85,10251250.0,0.117058895257,854270.833333
111,Belgium,2005,13,0.1734,0.8266,10478617.0,0.124062173472,806047.461538
112,Belgium,2010,15,0.192,0.808,10895586.0,0.137670429108,726372.4
122,Bosnia and Herzegovina,1995,6,0.0495,0.9505,3843712.0,0.156099104199,640618.666667
123,Bosnia and Herzegovina,2000,8,0.076,0.924,3766706.0,0.212387162683,470838.25
124,Bosnia and Herzegovina,2005,8,0.052,0.948,3781530.0,0.211554582404,472691.25
125,Bosnia and Herzegovina,2010,8,0.0293,0.9707,3722084.0,0.21493335454,465260.5
129,Bulgaria,1960,7,0.144,0.856,7867374.0,0.0889750506332,1123910.57143
130,Bulgaria,1965,10,0.1837,0.8163,8204168.0,0.121889264091,820416.8
131,Bulgaria,1970,10,0.1808,0.8192,8489574.0,0.117791540541,848957.4
132,Bulgaria,1975,13,0.1524,0.8476,8720742.0,0.149069884191,670826.307692
133,Bulgaria,1980,13,0.1095,0.8905,8861535.0,0.146701446194,681656.538462
134,Bulgaria,1985,13,0.1327,0.8673,8960547.0,0.145080428684,689272.846154
135,Bulgaria,1990,14,0.1009,0.8991,8718289.0,0.160581967402,622734.928571
136,Bulgaria,1995,23,0.0744,0.9256,8406067.0,0.273611904354,365481.173913
137,Bulgaria,2000,23,0.0395,0.9605,8170172.0,0.281511821293,355224.869565
138,Bulgaria,2005,24,0.044,0.956,7658972.0,0.313357980679,319123.833333
139,Bulgaria,2010,24,0.0473,0.9527,7395599.0,0.324517324425,308149.958333
140,Cameroon,1960,0,0.0007,0.9993,5176268.0,0.0,inf
141,Cameroon,1965,1,0.0008,0.9992,5777834.0,0.0173075238922,5777834.0
142,Cameroon,1970,1,0.0009,0.9991,6527635.0,0.0153194840091,6527635.0
143,Cameroon,1975,1,0.001,0.999,7457362.0,0.0134095676192,7457362.0
144,Cameroon,1980,2,0.0011,0.9989,8618354.0,0.0232062874187,4309177.0
145,Cameroon,1985,3,0.002,0.998,10050023.0,0.0298506779537,3350007.66667
