name,year,nr_unis,nonreligpct,religpct,popsize,uni_per_pop,pop_per_uni,HPI_sci,HPI_rel,continent
Albania,1960,4,0.15,0.85,1608800,0.2486325211,402200,,,Europe
Albania,1965,4,0.21,0.79,1864791,0.2145012497,466197.75,,,Europe
Albania,1970,4,0.24,0.76,2135479,0.1873116055,533869.75,,,Europe
Albania,1975,5,0.2531,0.7469,2404831,0.2079148181,480966.2,,,Europe
Albania,1980,5,0.2632,0.7368,2671997,0.1871259586,534399.4,,,Europe
Albania,1985,5,0.2698,0.7302,2964762,0.1686476014,592952.4,,,Europe
Albania,1990,5,0.2742,0.7258,3286542,0.1521355881,657308.4,,,Europe
Albania,1995,7,0.1675,0.8325,3187784,0.2195882783,455397.714286,,,Europe
Albania,2000,7,0.1092,0.8908,3089027,0.2266085729,441289.571429,,,Europe
Albania,2005,8,0.1099,0.8901,3011487,0.2656494948,376435.875,,,Europe
Albania,2010,9,0.1507,0.8493,2913021,0.3089576079,323669,,,Europe
Angola,1975,1,0.0033,0.9967,7682479,0.0130166317,7682479,,,Africa
Angola,1980,1,0.0043,0.9957,8929900,0.0111983337,8929900,,,Africa
Angola,1985,1,0.0056,0.9944,10609042,0.0094259218,10609042,,,Africa
Angola,1990,1,0.006,0.994,12171441,0.0082159541,12171441,,,Africa
Angola,1995,2,0.008,0.992,14268994,0.0140164051,7134497,,,Africa
Angola,2000,2,0.0194,0.9806,16440924,0.0121647664,8220462,,,Africa
Angola,2005,2,0.0161,0.9839,19552542,0.010228849,9776271,,,Africa
Angola,2010,8,0.0179,0.9821,23369131,0.0342331942,2921141.375,,,Africa
Antigua and Barbuda,1980,0,0,1,73442,0,inf,,,North America
Antigua and Barbuda,1985,1,0,1,69782,1.4330343068,69782,,,North America
Antigua and Barbuda,1990,1,0.0328,0.9672,66696,1.4993402903,66696,,,North America
Antigua and Barbuda,1995,1,0.046,0.954,73619,1.3583449925,73619,,,North America
Antigua and Barbuda,2000,1,0.0582,0.9418,83584,1.1964012251,83584,,,North America
Antigua and Barbuda,2005,1,0.0533,0.9467,89253,1.1204105184,89253,,,North America
Antigua and Barbuda,2010,1,0.059,0.941,94661,1.0564012635,94661,,,North America
Argentina,1960,9,0,1,20619075,0.0436489028,2291008.33333,20.61145,0,South America
Argentina,1965,10,0.0025,0.9975,22283390,0.0448764753,2228339,20.61145,0,South America
Argentina,1970,11,0.0046,0.9954,23973058,0.0458848429,2179368.90909,20.61145,0,South America
Argentina,1975,25,0.0046,0.9954,26066975,0.0959067939,1042679,20.61145,0,South America
Argentina,1980,26,0.0034,0.9966,28105888,0.0925073067,1080995.69231,20.61145,0,South America
Argentina,1985,26,0.0082,0.9918,30388783,0.085557885,1168799.34615,20.61145,0,South America
Argentina,1990,30,0.0231,0.9769,32729739,0.0916597593,1090991.3,20.61145,0,South America
Argentina,1995,37,0.025,0.975,34994814,0.1057299519,945805.783784,20.61145,0,South America
Argentina,2000,38,0.0392,0.9608,37057452,0.1025434776,975196.105263,20.61145,0,South America
Argentina,2005,40,0.12,0.88,39145488,0.1021829131,978637.2,20.61145,0,South America
Argentina,2010,44,0.12,0.88,41223889,0.1067342288,936906.568182,20.61145,0,South America
Armenia,1995,12,0.1221,0.8779,3217342,0.3729786886,268111.833333,0,24.347,Asia
Armenia,2000,14,0.017,0.983,3069588,0.4560872664,219256.285714,0,24.347,Asia
Armenia,2005,14,0.0342,0.9658,2981259,0.4696002595,212947.071429,0,24.347,Asia
Armenia,2010,14,0.0346,0.9654,2877311,0.4865654078,205522.214286,0,24.347,Asia
Australia,1960,22,0.04,0.96,10276477,0.2140811486,467112.590909,21.86368,0,Oceania
Australia,1965,24,0.05,0.95,11388000,0.210748156,474500,21.86368,0,Oceania
Australia,1970,28,0.0598,0.9402,12507000,0.2238746302,446678.571429,21.86368,0,Oceania
Australia,1975,31,0.0937,0.9063,13893000,0.2231339524,448161.290323,21.86368,0,Oceania
Australia,1980,31,0.1196,0.8804,14692000,0.2109991832,473935.483871,21.86368,0,Oceania
Australia,1985,31,0.1343,0.8657,15758000,0.1967254728,508322.580645,21.86368,0,Oceania
Australia,1990,34,0.1398,0.8602,17065100,0.1992370393,501914.705882,21.86368,0,Oceania
Australia,1995,36,0.1562,0.8438,18072000,0.1992031873,502000,21.86368,0,Oceania
